0,621513962745667
0,840637475252151
0,96015939116478
1,04382473230362
1,12749007344246
1,60557773709297
1,68924307823181
1,72111558914185
1,78486061096191
1,97609567642212
2,16733074188232
2,27888453006744
2,39043831825256
2,50199210643768
2,56573712825775
2,62948215007782
2,69322717189789
2,72908374667168
2,76494032144547
2,80079689621925
2,83665347099304
2,87251004576683
2,90836662054062
3,28685268759727
3,94023916125298
4,15537860989571
4,41832682490349
4,83665353059769
